,feature,importance
0,Age_scaled,0.08662094455482038
1,Sex_1,0.0854961901815486
2,Age,0.08463493639135458
3,Fare,0.08417520014525304
4,Name_length,0.0829557415627347
5,Sex_0,0.0823147186338816
6,Title_0,0.08177936204531586
7,Ticket_Number,0.0729560444537129
8,Pclass,0.03042575096654758
9,CabinLetter,0.029547484906719393
10,Family_Size,0.02900245031354982
11,Title_1,0.02636924833128902
12,Title_2,0.02484813095148667
13,Ticket_Letter,0.0224385260761855
14,Cabin,0.01729408309866012
15,Family_Size_Category_2,0.01625856009002707
16,Family_Size_Category_0,0.014817304934407848
17,S,0.011206756345656174
18,Pclass_4,0.010762855711874745
19,Pclass_5,0.010752763186776136
20,Fare_0,0.0106560640426279
21,Family_Size_Category_1,0.00896989351362141
22,Fare_1,0.008498812898260004
23,C,0.00802907367313708
24,Fare_2,0.008016047193343897
25,Title_3,0.007843666195773806
26,Fare_4,0.007748737721588485
27,Pclass_1,0.007218415164676635
28,Fare_3,0.0070838715077896994
29,Pclass_3,0.005532095802821385
30,Q,0.005295591386679555
31,Title_5,0.00430407745995274
32,Pclass_0,0.003759354949625146
33,Pclass_2,0.002014749425361872
34,Title_4,0.00037249618293855205
35,Fare,0.212
36,Ticket_Number,0.132
37,Age,0.1
38,Age_scaled,0.09
39,Name_length,0.084
40,Ticket_Letter,0.072
41,Family_Size,0.044
42,CabinLetter,0.044
43,Title_0,0.032
44,Pclass_4,0.03
45,Title_1,0.028
46,Title_3,0.026
47,Sex_0,0.024
48,Title_5,0.024
49,Family_Size_Category_0,0.016
50,S,0.014
51,Family_Size_Category_1,0.01
52,Sex_1,0.008
53,Pclass,0.006
54,Pclass_0,0.004
55,Title_4,0.0
56,Title_2,0.0
57,Fare_0,0.0
58,Fare_3,0.0
59,Pclass_1,0.0
60,Pclass_2,0.0
61,Pclass_3,0.0
62,Q,0.0
63,Pclass_5,0.0
64,C,0.0
65,Fare_1,0.0
66,Fare_4,0.0
67,Family_Size_Category_2,0.0
68,Cabin,0.0
69,Fare_2,0.0
70,Title_0,0.11785545381570542
71,Sex_1,0.0994493231715328
72,Sex_0,0.08864339795027264
73,Age,0.0538749554811926
74,Age_scaled,0.053754682849861145
75,Name_length,0.05039718317629965
76,Fare,0.04101357057004714
77,Ticket_Number,0.03919711675180943
78,Title_2,0.035918828102631355
79,Cabin,0.03580432424999055
80,Title_1,0.03255787181445063
81,Pclass,0.030978692622161335
82,Family_Size_Category_2,0.026643088472842233
83,Family_Size_Category_0,0.024866349977396993
84,Family_Size,0.023759755702512483
85,Ticket_Letter,0.022539109526581138
86,CabinLetter,0.021039554418300462
87,Pclass_5,0.018532632584666173
88,Fare_0,0.017714585777208983
89,Title_3,0.016350289830319928
90,Fare_1,0.015669598873959682
91,S,0.014381184728868946
92,Family_Size_Category_1,0.01403874702608289
93,Pclass_4,0.013472930039021643
94,Pclass_1,0.012725155768504658
95,Fare_4,0.01153489495712298
96,Fare_3,0.011050004067205426
97,Fare_2,0.010997756848353817
98,C,0.010812033117182748
99,Pclass_3,0.008466370620781198
100,Q,0.008222211774289416
101,Pclass_0,0.007282818736239611
102,Title_5,0.006604231263249766
103,Pclass_2,0.003322492172614035
104,Title_4,0.0005288031607401184
105,Title_0,0.05012711987626764
106,Fare,0.021141063412612536
107,Ticket_Number,0.017758838585818327
108,Name_length,0.01706560053700585
109,Age_scaled,0.01140532540115405
110,Age,0.011113938296525898
111,Pclass,0.008156545575053105
112,Family_Size,0.007112553155958548
113,Family_Size_Category_0,0.005903975702249602
114,Title_5,0.005483724177966475
115,Ticket_Letter,0.003949463062985215
116,CabinLetter,0.0029028030273536413
117,Sex_1,0.002159398314457861
118,Cabin,0.001780572143660619
119,Fare_4,0.0017440823218828044
120,Fare_2,0.0016924725848183298
121,S,0.0016328272201699499
122,Q,0.0010162416181935393
123,Title_2,0.000991227306608617
124,Fare_3,0.0009499508150002222
125,Pclass_1,0.0006960272037427009
126,Pclass_3,0.0003907421923867017
127,Fare_1,0.0003640614697374741
128,Family_Size_Category_1,0.0003238401515722368
129,C,0.00029139035677989495
130,Title_4,0.0002623004463389515
131,Title_1,0.0002530519960610352
132,Pclass_0,0.00022300147356306784
133,Family_Size_Category_2,0.0002165179829385906
134,Pclass_5,0.00021476902935010957
135,Sex_0,0.00019861372519780482
136,Fare_0,0.0001958225056686062
137,Title_3,0.00017752995736928636
138,Pclass_4,0.00010460837355071895
139,Pclass_2,0.0
140,Title_0,0.31929726056184937
141,Fare,0.14100159089918385
142,Name_length,0.0783403947978066
143,Ticket_Number,0.07803270941106191
144,Family_Size_Category_0,0.07469387832049114
145,Age,0.06640386740146427
146,Pclass,0.04735112395324356
147,Age_scaled,0.046961787263505965
148,Title_5,0.035817677845373985
149,Cabin,0.016876830430444672
150,Family_Size,0.014637144713824133
151,Ticket_Letter,0.010717004110214642
152,Fare_2,0.009686873449568367
153,Title_2,0.007409467821228043
154,Fare_4,0.007179325469780635
155,CabinLetter,0.006446947785050995
156,Pclass_0,0.006028314811995736
157,S,0.005998569837594442
158,Q,0.004848530978840004
159,C,0.004253311006241439
160,Pclass_1,0.00401887654133049
161,Pclass_3,0.003981543903906511
162,Fare_3,0.0037676967574973353
163,Family_Size_Category_2,0.0037676967574973353
164,Sex_1,0.0015070787029989334
165,Title_4,0.0009744964680055796
166,Fare_0,0.0
167,Family_Size_Category_1,0.0
168,Fare_1,0.0
169,Pclass_2,0.0
170,Pclass_5,0.0
171,Pclass_4,0.0
172,Sex_0,0.0
173,Title_3,0.0
174,Title_1,0.0
